S No.,Model,Year,Price,Transmission,Kms_driven,FuelType,Tax,MPG,EngineSize
1594, A1,2015,15888,Manual,22148,Petrol,200,40.4,2
1595, A1,2019,19498,Manual,13059,Petrol,145,50.4,1
1596, Q3,2016,15998,Manual,18419,Petrol,125,50.4,1.4
1597, A6,2015,16998,Semi-Auto,38952,Diesel,125,57.6,2
1598, A6,2016,19998,Semi-Auto,26157,Diesel,125,56.5,3
1599, Q5,2018,43888,Semi-Auto,21017,Petrol,145,34,3
1600, Q3,2019,30990,Semi-Auto,1845,Petrol,145,31.4,2
1601, A1,2020,19990,Manual,4000,Petrol,145,47.9,1
1602, Q2,2019,19990,Manual,1500,Petrol,145,47.1,1
1603, Q5,2016,19000,Manual,23314,Petrol,240,37.2,2
1604, A3,2018,25489,Semi-Auto,18478,Petrol,145,43.5,2
1605, A5,2015,15489,Manual,37026,Petrol,145,49.6,1.8
1606, TT,2016,16289,Manual,22688,Petrol,145,47.1,1.8
1607, A3,2017,22689,Semi-Auto,28151,Petrol,160,43.5,2
1608, Q5,2017,35989,Semi-Auto,37624,Petrol,145,34,3
1609, A6,2018,23489,Semi-Auto,9452,Petrol,145,47.9,1.8
1610, Q3,2017,19350,Semi-Auto,41887,Diesel,145,55.4,2
1611, Q7,2018,44999,Automatic,16725,Diesel,145,32.8,3
1612, A6,2014,12498,Manual,44219,Diesel,30,62.8,2
1613, A5,2016,20498,Semi-Auto,46512,Petrol,260,35.8,3
1614, A1,2015,11298,Manual,43512,Petrol,30,56.5,1.4
1615, A5,2017,21898,Semi-Auto,23572,Diesel,145,70.6,2
1616, Q3,2015,17998,Manual,25719,Diesel,160,49.6,2
1617, A6,2016,19298,Semi-Auto,32951,Diesel,30,58.9,2
1618, Q2,2019,19498,Manual,10556,Petrol,145,42.8,1.5
1619, A6,2016,19998,Semi-Auto,29067,Diesel,30,61.4,2
1620, A1,2015,10598,Manual,26300,Diesel,0,80.7,1.6
1621, A1,2020,21888,Semi-Auto,3500,Petrol,145,44.8,1.5
1622, A1,2020,22290,Semi-Auto,402,Petrol,145,44.8,1.5
1623, A3,2013,8498,Manual,58867,Petrol,125,53.3,1.4
1624, A4,2016,14998,Manual,33303,Diesel,20,72.4,2
1625, A1,2016,11200,Manual,29819,Petrol,0,67.3,1
1626, Q5,2015,23998,Semi-Auto,35520,Diesel,260,41.5,3
1627, Q5,2014,12995,Manual,55292,Diesel,205,47.9,2
1628, A4,2017,13888,Manual,30266,Petrol,125,53.3,1.4
1629, Q3,2018,19990,Manual,22465,Diesel,150,56.5,2
1630, A3,2017,18444,Manual,18541,Petrol,30,60.1,1.4
1631, Q2,2017,19888,Semi-Auto,37125,Petrol,125,52.3,1.4
1632, Q2,2018,22444,Semi-Auto,18258,Petrol,150,52.3,1.4
1633, A1,2017,12444,Manual,16438,Petrol,150,57.6,1.4
1634, Q5,2015,17498,Manual,51962,Diesel,200,47.9,2
1635, A1,2015,12798,Manual,26811,Petrol,30,58.9,1.4
1636, A5,2017,16498,Manual,68996,Diesel,30,64.2,2
1637, Q5,2016,28498,Semi-Auto,46843,Diesel,235,42.2,3
1638, A6,2016,16498,Manual,62668,Diesel,30,61.4,2
1639, TT,2016,16650,Manual,33000,Petrol,160,46.3,2
1640, TT,2016,16490,Manual,40601,Diesel,30,61.4,2
1641, A6,2017,19190,Semi-Auto,43000,Diesel,30,61.4,2
1642, A3,2017,17250,Manual,23694,Petrol,145,60.1,1.4
1643, A3,2017,18990,Manual,21130,Diesel,145,65.7,2
1644, Q5,2019,49990,Automatic,6000,Diesel,145,34.5,3
1645, A1,2019,18888,Automatic,4000,Petrol,145,46.3,1
1646, Q3,2019,26999,Semi-Auto,6500,Diesel,145,48.7,2
1647, R8,2019,129000,Semi-Auto,4000,Petrol,145,21.4,5.2
1648, A1,2020,22888,Semi-Auto,4000,Petrol,145,44.8,1.5
1649, Q5,2020,46450,Semi-Auto,3500,Hybrid,135,117.7,2
1650, Q2,2017,17490,Manual,7898,Petrol,125,52.3,1.4
1651, A1,2020,19490,Manual,1500,Petrol,145,48.7,1
1652, Q2,2017,20490,Manual,4653,Petrol,145,50.4,1.4
1653, Q2,2017,17990,Manual,18365,Petrol,145,52.3,1.4
1654, A3,2015,13995,Semi-Auto,45300,Diesel,125,58.9,2
1655, Q3,2017,20495,Manual,20250,Diesel,145,54.3,2
1656, A3,2017,17990,Semi-Auto,25335,Petrol,30,56.5,1.4
1657, A6,2017,27990,Automatic,22631,Diesel,145,50.4,3
1658, Q3,2014,12040,Semi-Auto,56601,Diesel,200,47.9,2
1659, A5,2013,10440,Manual,50124,Diesel,30,61.4,2
1660, Q3,2014,13798,Manual,26782,Petrol,235,38.7,2
1661, Q3,2015,14298,Manual,38430,Diesel,145,56.5,2
1662, Q2,2017,20698,Manual,8642,Petrol,145,50.4,1.4
1663, A4,2019,24998,Semi-Auto,12482,Petrol,145,38.2,2
1664, A4,2019,24998,Semi-Auto,9880,Petrol,145,38.2,2
1665, A4,2017,16998,Manual,4734,Petrol,145,52.3,1.4
1666, A4,2016,15998,Manual,34581,Diesel,30,67.3,2
1667, A4,2018,19798,Manual,13798,Petrol,145,51.4,1.4
1668, A6,2017,20998,Semi-Auto,31232,Diesel,150,58.9,2
1669, Q3,2017,19498,Manual,20110,Petrol,145,51.4,1.4
1670, Q5,2015,19698,Manual,39056,Diesel,200,47.9,2
1671, Q3,2015,13998,Manual,36964,Diesel,30,61.4,2
1672, A4,2013,9298,Manual,72011,Diesel,30,64.2,2
1673, A6,2017,19798,Semi-Auto,12623,Diesel,150,64.2,2
1674, A5,2017,23790,Semi-Auto,29668,Petrol,145,45.6,2
1675, Q3,2015,19995,Semi-Auto,26540,Petrol,205,40.4,2
1676, A4,2014,9995,Manual,67054,Diesel,30,61.4,2
1677, A4,2013,12495,Semi-Auto,51000,Diesel,150,53.3,2
1678, A1,2016,10495,Manual,43000,Petrol,0,67.3,1
1679, A3,2015,12998,Manual,66088,Diesel,20,67.3,2
1680, A1,2015,14180,Manual,58223,Petrol,235,39.8,2
1681, A8,2015,19230,Automatic,35361,Diesel,200,48.7,3
1682, A4,2016,16050,Manual,25276,Diesel,30,67.3,2
1683, A4,2017,20690,Semi-Auto,13000,Diesel,145,62.8,2
1684, A4,2017,18990,Automatic,22467,Petrol,145,50.4,2
1685, A4,2019,26490,Semi-Auto,9461,Diesel,145,47.9,2
1686, A3,2019,20890,Semi-Auto,12930,Petrol,145,42.2,1.5
1687, A6,2019,34750,Semi-Auto,774,Diesel,145,39.8,3
1688, A6,2016,24490,Semi-Auto,39507,Diesel,160,50.4,3
1689, A1,2015,11250,Manual,52539,Petrol,30,55.4,1.4
1690, A1,2013,8490,Manual,56884,Petrol,125,52.3,1.4
1691, TT,2016,15763,Manual,22883,Petrol,160,46.3,1.8
1692, A4,2017,18298,Manual,24523,Diesel,30,67.3,2
1693, Q3,2017,18698,Manual,22195,Petrol,145,49.6,1.4
1694, A4,2018,17298,Manual,13972,Petrol,145,52.3,1.4
1695, Q3,2016,17498,Manual,29602,Diesel,145,52.3,2
1696, Q5,2015,18498,Semi-Auto,48603,Diesel,200,47.1,2
1697, A4,2017,16498,Manual,12882,Petrol,145,52.3,1.4
1698, Q5,2017,27498,Semi-Auto,65145,Diesel,235,42.2,3
1699, Q5,2019,34998,Semi-Auto,35,Petrol,145,32.1,2
1700, A4,2018,16498,Manual,19934,Petrol,145,52.3,1.4
1701, Q2,2019,23444,Manual,5624,Petrol,145,43.5,1.5
1702, TT,2019,32888,Automatic,4550,Petrol,145,37.2,2
1703, A6,2016,16450,Semi-Auto,44887,Diesel,20,64.2,2
1704, Q3,2019,35888,Semi-Auto,1856,Diesel,145,45.6,2
1705, Q3,2015,17998,Semi-Auto,30837,Diesel,160,50.4,2
1706, A6,2018,21498,Semi-Auto,32383,Diesel,145,61.4,2
1707, Q5,2015,19998,Semi-Auto,32424,Diesel,200,47.1,2
1708, A4,2017,17998,Manual,21177,Petrol,145,51.4,1.4
1709, A3,2017,13395,Manual,38000,Petrol,145,60.1,1.4
1710, A3,2014,11995,Automatic,26600,Petrol,20,60.1,1.4
1711, A3,2017,20995,Semi-Auto,9975,Petrol,145,47.9,2
1712, A3,2016,10498,Manual,68294,Diesel,0,74.3,1.6
1713, Q3,2016,14498,Manual,29744,Diesel,30,61.4,2
1714, TT,2015,14998,Manual,41319,Diesel,20,67.3,2
1715, A6,2016,19998,Semi-Auto,29738,Diesel,30,61.4,2
1716, A3,2016,10298,Manual,67959,Diesel,0,74.3,1.6
1717, Q3,2017,18498,Semi-Auto,17013,Petrol,145,47.9,1.4
1718, A1,2013,9600,Semi-Auto,58573,Petrol,125,53.3,1.4
1719, A6,2016,14998,Semi-Auto,54813,Diesel,30,64.2,2
1720, A4,2017,19298,Manual,14290,Petrol,145,51.4,1.4
1721, A4,2018,18998,Manual,20298,Petrol,145,51.4,1.4
1722, A6,2015,18598,Semi-Auto,38967,Diesel,125,58.9,2
1723, A1,2016,11298,Manual,39021,Petrol,30,55.4,1.4
1724, A6,2014,14495,Semi-Auto,57842,Diesel,30,61.4,2
1725, A4,2013,12495,Automatic,45582,Petrol,200,40.4,2
1726, Q2,2019,17295,Manual,16047,Petrol,145,47.1,1
1727, A5,2014,12495,Manual,44980,Diesel,145,55.4,2
1728, A5,2015,12995,Manual,41667,Petrol,145,48.7,1.8
1729, Q5,2018,27991,Semi-Auto,24441,Diesel,145,48.7,3
1730, A6,2014,12498,Manual,68180,Diesel,30,62.8,2
1731, A4,2016,13498,Manual,30090,Petrol,125,53.3,1.4
1732, A5,2016,19298,Manual,17272,Diesel,125,57.6,2
1733, A6,2016,18498,Semi-Auto,53832,Diesel,30,61.4,2
1734, A4,2016,13998,Semi-Auto,47791,Diesel,0,72.4,2
1735, A6,2016,20498,Semi-Auto,30451,Diesel,200,47.1,3
1736, A5,2016,23998,Semi-Auto,14991,Diesel,160,50.4,2
1737, A4,2017,17698,Manual,32512,Diesel,30,67.3,2
1738, A4,2016,13498,Manual,47350,Diesel,20,70.6,2
1739, A3,2014,10998,Manual,53664,Petrol,30,57.6,1.2
1740, A3,2016,8698,Manual,37123,Diesel,20,72.4,1.6
1741, A5,2015,15798,Semi-Auto,41781,Diesel,125,58.9,2
1742, A4,2017,16998,Manual,34870,Petrol,145,51.4,1.4
1743, A7,2014,19998,Semi-Auto,40473,Diesel,235,44.8,3
1744, A4,2018,21498,Semi-Auto,16473,Petrol,145,49.6,1.4
1745, A3,2019,21450,Automatic,3690,Petrol,145,44.8,1.5
1746, A3,2019,19888,Manual,6161,Diesel,145,56.5,2
1747, Q7,2016,30998,Semi-Auto,52793,Diesel,200,47.9,3
1748, Q5,2019,35698,Semi-Auto,15,Petrol,145,32.1,2
1749, A3,2017,19998,Semi-Auto,20239,Diesel,145,56.5,2
1750, Q5,2019,31698,Semi-Auto,74,Petrol,145,33.2,2
1751, A7,2017,23198,Semi-Auto,30150,Diesel,145,62.8,3
1752, A3,2016,13998,Manual,56457,Diesel,20,67.3,2
1753, A4,2016,16995,Manual,41443,Diesel,30,67.3,2
1754, A4,2017,21998,Semi-Auto,10533,Petrol,145,49.6,1.4
1755, A4,2017,20798,Semi-Auto,13611,Petrol,145,50.4,1.4
1756, A6,2016,21880,Semi-Auto,15559,Diesel,150,56.5,2
1757, Q2,2017,16440,Manual,18882,Petrol,150,55.4,1
1758, Q3,2017,19000,Manual,18698,Petrol,145,49.6,1.4
1759, A3,2016,16000,Manual,16837,Petrol,20,60.1,1.4
1760, A1,2019,18990,Manual,2903,Petrol,150,51.4,1
1761, Q2,2017,20650,Semi-Auto,18745,Petrol,150,52.3,1.4
1762, A1,2019,21790,Semi-Auto,4454,Petrol,150,40.9,2
1763, A1,2019,21444,Semi-Auto,6295,Petrol,145,40.9,2
1764, A6,2017,21998,Semi-Auto,22456,Diesel,145,61.4,2
1765, A4,2018,17998,Manual,25922,Petrol,145,50.4,1.4
1766, Q3,2015,16998,Manual,23960,Diesel,145,52.3,2
1767, A4,2018,21798,Semi-Auto,11040,Petrol,145,49.6,1.4
1768, A4,2018,20498,Semi-Auto,15987,Petrol,150,50.4,1.4
1769, A3,2017,13495,Manual,12396,Petrol,20,60.1,1
1770, A3,2017,11495,Manual,51870,Petrol,20,62.8,1.4
1771, A1,2016,9995,Manual,28790,Petrol,0,67.3,1
1772, A6,2017,13995,Manual,47000,Diesel,30,65.7,2
1773, A6,2015,11995,Manual,37300,Diesel,30,65.7,2
1774, Q3,2017,19495,Manual,18972,Diesel,145,56.5,2
1775, A4,2017,13995,Semi-Auto,70580,Diesel,145,70.6,2
1776, A5,2018,22795,Semi-Auto,21993,Diesel,145,62.8,2
1777, A3,2017,15495,Manual,49471,Diesel,145,65.7,2
1778, A4,2016,14495,Manual,66000,Diesel,30,67.3,2
1779, A4,2016,16750,Semi-Auto,50715,Diesel,30,65.7,2
1780, A5,2017,20450,Manual,12978,Petrol,145,49.6,2
1781, A6,2018,27500,Semi-Auto,7825,Diesel,145,50.4,2
1782, A3,2019,23535,Semi-Auto,12863,Petrol,145,41.5,1.5
1783, A3,2019,21374,Automatic,14520,Petrol,145,41.5,1.5
1784, A3,2019,23413,Semi-Auto,12971,Petrol,145,41.5,1.5
1785, A1,2019,21714,Semi-Auto,2942,Petrol,145,47.1,1
1786, Q5,2018,42500,Semi-Auto,7566,Petrol,145,34,3
1787, Q7,2019,43500,Semi-Auto,2977,Diesel,145,33.2,3
1788, A3,2019,21450,Manual,7315,Diesel,145,55.4,2
1789, A1,2019,25888,Semi-Auto,14,Petrol,145,40.4,2
1790, A3,2017,16650,Semi-Auto,14712,Petrol,30,57.6,1.4
1791, Q2,2017,15835,Manual,25483,Petrol,30,55.4,1
1792, A4,2017,19750,Semi-Auto,9806,Petrol,30,53.3,2
1793, A1,2020,19444,Manual,4000,Petrol,145,49.6,1
1794, Q2,2020,25990,Manual,1500,Petrol,145,43.5,1.5
1795, A4,2020,25990,Semi-Auto,1500,Petrol,145,42.8,2
1796, A6,2019,30888,Automatic,9350,Diesel,145,47.9,2
1797, TT,2019,26500,Manual,3890,Petrol,145,39.8,2
1798, A6,2019,43888,Semi-Auto,8735,Diesel,145,37.7,3
1799, Q3,2016,15995,Manual,22515,Petrol,125,50.4,1.4
1800, A4,2016,15745,Semi-Auto,57828,Diesel,30,65.7,2
1801, A4,2017,16995,Automatic,21641,Petrol,145,51.4,1.4
1802, A3,2017,13795,Manual,18454,Diesel,145,70.6,1.6
1803, A3,2017,12595,Semi-Auto,36633,Petrol,20,62.8,1
1804, TT,2013,13455,Manual,39511,Diesel,145,53.3,2
1805, A6,2016,14295,Manual,35047,Diesel,30,65.7,2
1806, Q3,2016,13995,Semi-Auto,58406,Petrol,145,47.9,1.4
1807, Q3,2016,17400,Manual,21331,Diesel,145,52.3,2
1808, Q3,2017,17800,Manual,14707,Petrol,125,51.4,1.4
1809, A1,2016,11990,Manual,27706,Petrol,30,55.4,1.4
1810, A3,2016,13250,Manual,30928,Diesel,20,67.3,2
1811, A6,2017,20250,Semi-Auto,41272,Diesel,145,61.4,2
1812, Q7,2017,53990,Semi-Auto,30427,Diesel,145,39.2,4
1813, A1,2019,19888,Manual,3334,Petrol,145,47.9,1
1814, Q2,2019,24250,Semi-Auto,2091,Diesel,145,47.9,1.6
1815, Q2,2019,25250,Manual,2683,Petrol,145,43.5,1.5
1816, Q2,2019,28888,Semi-Auto,2311,Petrol,145,42.2,1.5
1817, Q2,2019,28690,Semi-Auto,1910,Petrol,145,42.2,1.5
1818, A3,2019,19490,Manual,2492,Petrol,145,49.6,1
1819, A1,2016,9895,Manual,75189,Diesel,0,80.7,1.6
1820, Q3,2016,15595,Manual,52804,Diesel,30,60.1,2
1821, A3,2016,11495,Manual,55545,Diesel,20,70.6,1.6
1822, A3,2017,11995,Manual,68643,Diesel,0,74.3,1.6
1823, A6,2016,17995,Semi-Auto,58836,Diesel,30,61.4,2
1824, A3,2015,9595,Manual,71335,Diesel,0,74.3,1.6
1825, A6,2016,15495,Semi-Auto,57173,Diesel,20,64.2,2
1826, Q3,2017,17695,Semi-Auto,46862,Diesel,145,55.4,2
1827, A1,2016,10395,Manual,53440,Diesel,0,80.7,1.6
1828, A1,2016,10495,Manual,45954,Diesel,0,80.7,1.6
1829, Q3,2017,19445,Semi-Auto,25234,Diesel,145,55.4,2
1830, Q3,2016,15845,Manual,22270,Petrol,125,50.4,1.4
1831, Q5,2016,22995,Semi-Auto,19273,Diesel,200,47.1,2
1832, A5,2018,24495,Automatic,40929,Diesel,145,58.9,3
1833, Q2,2018,19895,Automatic,13144,Petrol,145,54.3,1.4
1834, Q3,2017,17995,Manual,18998,Petrol,145,51.4,1.4
1835, RS3,2015,28985,Automatic,15016,Petrol,300,34.9,2.5
1836, A3,2020,23995,Manual,1560,Diesel,145,55.4,2
1837, A6,2016,16995,Semi-Auto,36273,Diesel,30,61.4,2
1838, A6,2018,20995,Automatic,27304,Diesel,145,64.2,2
1839, Q8,2019,77888,Automatic,3011,Diesel,145,32.8,3
1840, Q2,2019,19250,Manual,804,Petrol,145,47.1,1
1841, Q5,2019,36444,Semi-Auto,5429,Diesel,145,38.2,2
1842, A3,2018,18995,Manual,5864,Petrol,145,47.1,1
1843, A3,2017,13695,Manual,26413,Petrol,20,60.1,1
1844, A6,2020,37999,Automatic,2234,Petrol,145,34,2
1845, A6,2019,29250,Automatic,10055,Diesel,145,47.9,2
1846, Q2,2016,15990,Manual,35624,Diesel,30,64.2,1.6
1847, A6,2015,22995,Semi-Auto,65866,Petrol,325,30.7,4
1848, TT,2018,25495,Semi-Auto,10018,Petrol,145,42.8,2
1849, TT,2015,16990,Semi-Auto,23026,Petrol,200,42.2,2
1850, A5,2014,12995,Semi-Auto,83468,Diesel,150,53.3,2
1851, A1,2016,12995,Manual,30123,Petrol,30,56.5,1.4
1852, A3,2016,12790,Manual,38341,Petrol,125,52.3,1.4
1853, A4,2017,14995,Semi-Auto,41000,Diesel,0,72.4,2
1854, Q2,2017,15250,Manual,42755,Diesel,30,64.2,1.6
1855, A1,2020,22990,Semi-Auto,1192,Petrol,145,44.8,1.5
1856, Q2,2019,24448,Manual,3371,Petrol,145,43.5,1.5
1857, A1,2019,20344,Manual,2853,Petrol,145,47.9,1
1858, Q5,2020,53990,Semi-Auto,5480,Diesel,145,34.5,3
1859, A1,2019,19888,Manual,3927,Petrol,145,47.9,1
1860, Q2,2019,22890,Manual,3479,Petrol,145,44.8,1.5
1861, RS6,2015,51995,Semi-Auto,11484,Petrol,325,29.4,4
1862, A1,2017,11795,Manual,27444,Diesel,0,76.3,1.6
1863, A4,2018,22650,Semi-Auto,16249,Petrol,145,50.4,2
1864, A1,2017,13250,Manual,10417,Petrol,0,67.3,1
1865, Q2,2017,21250,Semi-Auto,14935,Petrol,145,52.3,1.4
1866, A3,2019,22000,Automatic,9057,Diesel,145,53.3,1.6
1867, A4,2019,30500,Automatic,4250,Diesel,145,44.8,2
1868, Q3,2019,28888,Manual,2774,Petrol,145,41.5,1.5
1869, A4,2019,32000,Semi-Auto,3076,Diesel,145,44.1,2
1870, R8,2013,47995,Manual,19834,Petrol,570,19.6,4.2
1871, A3,2015,9695,Manual,59200,Diesel,0,74.3,1.6
1872, Q5,2016,22495,Semi-Auto,25721,Diesel,200,47.1,2
1873, A3,2018,28995,Semi-Auto,9087,Petrol,145,43.5,2
1874, A6,2016,17495,Semi-Auto,31000,Diesel,20,64.2,2
1875, Q5,2016,22495,Semi-Auto,25721,Diesel,200,47.1,2
1876, A3,2018,28995,Semi-Auto,9087,Petrol,145,43.5,2
1877, A6,2015,13495,Manual,35921,Diesel,30,65.7,2
1878, A5,2015,15750,Automatic,59886,Petrol,160,44.1,1.8
1879, A5,2017,22450,Semi-Auto,16471,Petrol,30,53.3,2
1880, A5,2017,19750,Manual,20184,Diesel,30,64.2,2
1881, Q5,2015,23450,Semi-Auto,53646,Diesel,235,42.8,3
1882, A4,2017,15750,Manual,22077,Petrol,145,52.3,1.4
1883, Q2,2017,19450,Manual,17000,Petrol,145,50.4,1.4
1884, A5,2017,23490,Semi-Auto,20891,Diesel,125,60.1,3
1885, TT,2015,16450,Semi-Auto,43000,Petrol,205,42.8,2
1886, Q3,2014,11495,Manual,75848,Diesel,165,49.6,2
1887, A6,2017,21995,Semi-Auto,21883,Diesel,145,61.4,2
1888, Q3,2018,22495,Semi-Auto,25374,Petrol,145,48.7,1.4
1889, A6,2015,14995,Semi-Auto,77352,Diesel,30,64.2,2
1890, A3,2018,18995,Manual,12350,Petrol,145,54.3,1.5
1891, A5,2016,22995,Automatic,14847,Petrol,260,35.8,3
1892, A6,2015,16995,Semi-Auto,32235,Diesel,30,64.2,2
1893, Q7,2013,17995,Semi-Auto,82890,Diesel,300,38.2,3
1894, A1,2013,9995,Manual,48000,Petrol,125,53.3,1.4
1895, A1,2016,12995,Manual,21662,Petrol,30,56.5,1.4
1896, A8,2014,17790,Automatic,48399,Diesel,200,47.1,3
1897, A3,2016,11790,Manual,29813,Diesel,0,74.3,1.6
1898, A4,2017,13490,Manual,91212,Diesel,30,64.2,2
1899, A3,2013,11450,Automatic,61400,Petrol,125,50.4,1.8
1900, A4,2016,15990,Manual,30625,Diesel,30,67.3,2
1901, A3,2015,11390,Semi-Auto,48194,Diesel,20,70.6,1.6
1902, Q2,2017,19990,Semi-Auto,18887,Petrol,125,52.3,1.4
1903, A7,2017,23990,Semi-Auto,16236,Diesel,145,61.4,3
1904, A3,2015,9990,Manual,61443,Diesel,20,70.6,1.6
1905, A5,2017,19990,Semi-Auto,51243,Diesel,30,62.8,2
1906, Q2,2019,18595,Manual,4686,Petrol,145,47.1,1
1907, A1,2018,13495,Semi-Auto,1643,Petrol,145,64.2,1
1908, A3,2017,11895,Manual,28334,Petrol,150,62.8,1
1909, Q3,2017,17995,Semi-Auto,15916,Petrol,150,47.9,1.4
1910, A4,2015,16350,Manual,65285,Diesel,20,67.3,2
1911, A4,2017,15250,Manual,59000,Diesel,30,67.3,2
1912, A4,2015,12690,Manual,57729,Diesel,30,61.4,2
1913, A1,2014,8290,Manual,68037,Petrol,125,53.3,1.4
1914, Q5,2014,22490,Semi-Auto,46186,Diesel,265,41.5,3
1915, A3,2016,9995,Manual,49379,Diesel,20,70.6,1.6
1916, A4,2015,13495,Manual,1800,Diesel,30,65.7,2
1917, A5,2013,10750,Manual,39000,Petrol,150,49.6,1.8
1918, Q5,2016,19750,Semi-Auto,48269,Diesel,200,47.1,2
1919, A3,2014,8600,Manual,73722,Petrol,30,57.6,1.2
1920, A4,2016,12000,Semi-Auto,83984,Diesel,20,70.6,2
1921, A1,2015,9500,Manual,74901,Petrol,30,55.4,1.4
1922, A4,2016,14295,Semi-Auto,33319,Diesel,0,72.4,2
1923, Q7,2019,45991,Semi-Auto,28,Diesel,145,33.2,3
1924, A4,2019,26990,Semi-Auto,8900,Diesel,145,50.4,2
1925, Q7,2019,49990,Semi-Auto,37,Diesel,145,33.2,3
1926, A3,2016,11695,Semi-Auto,58398,Diesel,20,72.4,1.6
1927, A3,2017,16498,Semi-Auto,2022,Petrol,145,60.1,1
1928, Q2,2019,20998,Manual,1596,Diesel,145,49.6,1.6
1929, Q3,2015,17698,Semi-Auto,37986,Diesel,160,50.4,2
1930, A4,2020,31498,Manual,183,Petrol,145,39.2,2
1931, A1,2017,13998,Semi-Auto,27496,Petrol,150,56.5,1.4
1932, Q7,2019,49990,Semi-Auto,31,Diesel,145,33.2,3
1933, Q3,2017,16990,Manual,21984,Petrol,145,51.4,1.4
1934, Q5,2018,37990,Semi-Auto,16022,Petrol,145,34,3
1935, RS4,2018,54950,Semi-Auto,13896,Petrol,145,32.1,2.9
1936, Q3,2017,21583,Semi-Auto,46066,Petrol,145,40.4,2
1937, A3,2019,21490,Semi-Auto,6874,Petrol,145,42.2,1.5
1938, A3,2019,22997,Semi-Auto,5000,Diesel,145,52.3,1.6
1939, A1,2015,10716,Manual,34616,Diesel,0,80.7,1.6
1940, A3,2019,17691,Manual,12666,Diesel,145,51.4,1.6
1941, A4,2019,20933,Semi-Auto,10809,Diesel,145,51.4,2
1942, A5,2019,25990,Semi-Auto,2459,Petrol,145,39.8,2
1943, A5,2019,29290,Semi-Auto,1822,Petrol,145,39.8,2
1944, A5,2019,27491,Automatic,5000,Petrol,145,39.8,2
1945, Q3,2019,26978,Semi-Auto,10778,Diesel,145,47.1,2
1946, A5,2019,26990,Semi-Auto,11479,Petrol,145,39.8,2
1947, Q5,2019,30490,Semi-Auto,6500,Diesel,145,38.2,2
1948, Q7,2019,44636,Semi-Auto,38,Diesel,145,33.2,3
1949, TT,2015,22950,Manual,35000,Diesel,20,67.3,2
1950, A6,2020,52500,Semi-Auto,2000,Diesel,145,50.4,2
1951, A3,2016,17950,Manual,58000,Diesel,20,70.6,1.6
1952, A4,2019,34950,Manual,5800,Petrol,145,39.2,2
1953, Q5,2015,19998,Semi-Auto,30649,Diesel,200,47.1,2
1954, Q3,2017,17498,Manual,21225,Petrol,125,51.4,1.4
1955, Q5,2015,24998,Semi-Auto,29820,Diesel,235,42.8,3
1956, A3,2016,10998,Manual,41014,Petrol,125,53.3,1.4
1957, A3,2016,16950,Manual,67000,Diesel,0,74.3,1.6
1958, A6,2018,48950,Semi-Auto,19500,Diesel,145,39.8,3
1959, Q5,2017,22440,Manual,31185,Diesel,200,47.9,2
1960, A3,2017,15995,Manual,28987,Petrol,30,57.6,1.4
1961, A3,2017,11895,Manual,30899,Petrol,145,62.8,1
1962, Q5,2013,14750,Manual,63153,Diesel,200,47.9,2
1963, Q3,2018,19000,Manual,11450,Petrol,145,51.4,1.4
1964, Q2,2017,20495,Semi-Auto,24423,Petrol,150,52.3,1.4
1965, A4,2020,34990,Semi-Auto,50,Diesel,145,50.4,2
1966, Q2,2019,21644,Manual,8000,Diesel,145,49.6,1.6
1967, Q2,2020,26990,Semi-Auto,5000,Petrol,145,42.2,1.5
1968, Q8,2019,59990,Semi-Auto,5000,Diesel,145,32.8,3
1969, A5,2019,27858,Semi-Auto,5000,Petrol,145,39.8,2
1970, A5,2019,27990,Semi-Auto,50,Petrol,145,39.8,2
1971, Q3,2019,27990,Semi-Auto,6000,Diesel,145,48.7,2
1972, A6,2018,23490,Semi-Auto,11551,Diesel,150,61.4,2
1973, A5,2015,12490,Semi-Auto,52357,Diesel,125,60.1,2
1974, A4,2019,20991,Semi-Auto,10577,Diesel,145,51.4,2
1975, A4,2016,17490,Manual,29955,Petrol,150,48.7,2
1976, Q5,2016,18890,Manual,42555,Diesel,205,47.9,2
1977, Q2,2019,20790,Manual,8345,Diesel,145,47.9,1.6
1978, Q2,2017,21390,Semi-Auto,20122,Diesel,145,57.7,2
1979, Q5,2017,36230,Semi-Auto,17503,Petrol,145,34,3
1980, Q7,2017,47490,Semi-Auto,21375,Diesel,145,39.2,4
1981, Q5,2019,34583,Semi-Auto,6051,Diesel,145,38.2,2
1982, RS6,2016,47992,Semi-Auto,28639,Petrol,325,29.4,4
1983, A4,2016,13990,Semi-Auto,53340,Petrol,30,53.3,2
1984, A6,2016,16710,Semi-Auto,69030,Diesel,145,56.5,2
1985, A3,2015,9998,Manual,27890,Diesel,0,74.3,1.6
1986, A1,2013,8998,Manual,53529,Petrol,125,52.3,1.4
1987, A1,2015,11998,Semi-Auto,12277,Diesel,0,76.3,1.6
1988, Q5,2019,31998,Semi-Auto,250,Petrol,150,33.2,2
1989, Q5,2019,31998,Semi-Auto,65,Petrol,150,33.2,2
1990, A3,2016,17870,Semi-Auto,42334,Diesel,125,57.6,2
1991, Q3,2018,24477,Semi-Auto,26388,Petrol,150,40.4,2
1992, A4,2017,18101,Manual,22309,Petrol,150,51.4,1.4
